,nodeID,nodeLabel,latitude,longitude,mode,year
82,82,Baille,5.3919658,43.2881308,None,1992.0
83,83,La Blancarde,5.4061939,43.2955624,None,2010.0
84,84,Louis Armand,5.4135707,43.2999653,None,2010.0
85,85,La Fourragère,5.4241011,43.3038114,None,2010.0
86,86,Frais Vallon,5.4231964,43.325469,None,1977.0
87,87,Réformés - Canebière,5.3862815,43.3004787,None,1977.0
88,88,La Timone,5.400394,43.2911443,None,1992.0
89,89,La Rose,5.4297167,43.33313,None,1977.0
90,90,Malpassé,5.4164002,43.3210103,None,1977.0
91,91,Saint-Charles,5.3800594,43.3024033,None,1977.0
92,92,Saint-Just,5.4064335,43.3154654,None,1977.0
93,93,Réformés - Canebière,5.3863422,43.3004056,None,1977.0
94,94,National,5.3730413,43.3151574,None,1987.0
95,95,Vieux Port,5.3741962,43.2955687,None,1978.0
96,96,Castellane,5.3846402,43.2862621,None,1978.0
97,97,La Blancarde,5.4062095,43.295546,None,2010.0
98,98,La Fourragère,5.4241016,43.3038348,None,2010.0
99,99,Estrangin - Préfecture,5.3780653,43.2901774,None,1978.0
100,100,Baille,5.3919764,43.2881097,None,1992.0
101,101,Saint-Barnabé,5.4187884,43.303331,None,2010.0
102,102,Désirée Clary,5.3722463,43.3092903,None,1987.0
103,103,L'Estaque,5.310371918330532,43.36091856799834,None,2013.0
104,104,Vieux Port,5.37383407760089,43.294581064956816,None,2012.0
105,105,Pointe Rouge,5.367186909706959,43.243026182496635,None,2012.0
106,106,Les Goudes,5.344767649466974,43.216297570688795,None,2015.0
107,107,Place aux Huiles,5.371107780743785,43.29346713911647,None,1880.0
108,108,Mairie,5.370432135023293,43.295884418023064,None,1880.0
109,109,Sainte-Marguerite Dromel,5.4021841,43.270602,None,1986.0
110,110,Sainte-Marguerite Dromel,5.4021969,43.2705828,None,1986.0
111,111,Rond-Point du Prado,5.3926882,43.271339,None,1986.0
112,112,Rond-Point du Prado,5.3926491,43.2713258,None,1986.0
113,113,Périer,5.3876325,43.2794522,None,1986.0
114,114,Périer,5.3875983,43.2794419,None,1986.0
115,115,Castellane,5.3845462,43.2849648,None,1984.0
116,116,Castellane,5.384501,43.2849532,None,1984.0
117,117,Notre-Dame-du-Mont - Cours Julien,5.3838357,43.2925227,None,1984.0
118,118,Notre-Dame-du-Mont - Cours Julien,5.383698,43.2924994,None,1984.0
119,119,Noailles,5.3812904,43.2968568,None,1984.0
120,120,Noailles,5.3811767,43.2968361,None,1984.0
121,121,Saint-Charles,5.3801787,43.3024815,None,1984.0
122,122,Saint-Charles,5.380036,43.3023898,None,1984.0
123,123,Jules Guesde,5.3739621,43.3020303,None,1984.0
124,124,Jules Guesde,5.3740003,43.3019393,None,1984.0
125,125,Joliette,5.3679657,43.3038911,None,1984.0
126,126,Gèze,5.367184900063648,43.328462386104974,None,2019.0
127,127,Joliette,5.3679329,43.3038754,None,1984.0
128,128,Désirée Clary,5.3722212,43.3093212,None,1987.0
129,129,Bougainville,5.3714311,43.3208404,None,1987.0
130,130,Estrangin - Préfecture,5.377934,43.2901522,None,1978.0
131,131,La Timone,5.4004203,43.2911325,None,1992.0
132,132,Louis Armand,5.4135481,43.2999805,None,2010.0
133,133,Saint-Barnabé,5.4187943,43.303309,None,2010.0
