,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,Schillingstraße,13.42201550836333,52.520311684730586,light_rail,1930.0
1,1,Strausberger Platz,13.431195929765323,52.518117270795415,light_rail,1930.0
2,2,Alexanderplatz,13.412903658034622,52.52113648864139,light_rail,1930.0
3,3,Weberwiese,13.445949461708267,52.5166101185211,light_rail,1930.0
4,4,Frankfurter Tor,13.45405549161822,52.51581156798264,light_rail,1930.0
5,5,Frankfurter Allee,13.475950552326463,52.51355962091689,light_rail,1930.0
6,6,Lichtenberg,13.498783224102937,52.51105768639934,light_rail,1930.0
7,7,Tierpark,13.523861549141941,52.496762026955224,light_rail,1973.0
8,8,Samariterstraße,13.465301225428561,52.51465385945619,light_rail,1930.0
9,9,Friedrichsfelde,13.513324778269975,52.505752783364386,light_rail,1930.0
10,10,Magdalenenstraße,13.486739950442086,52.51248008402217,light_rail,1930.0
11,11,Gleisdreieck,13.37416514859347,52.49950244452418,light_rail,0.0
12,12,Hallescher Tor,13.38272722377116,52.49911216789555,light_rail,1928.0
13,13,Gleisdreieck,13.374098352299654,52.499504790498065,light_rail,0.0
14,14,Hallesches Tor,13.382835903368402,52.49867764271983,light_rail,0.0
15,15,Schillingstraße,13.42201550836333,52.520311684730586,None,1930.0
16,16,Strausberger Platz,13.431195929765323,52.518117270795415,None,1930.0
17,17,Alexanderplatz,13.412903658034622,52.52113648864139,None,1930.0
18,18,Weberwiese,13.445949461708267,52.5166101185211,None,1930.0
19,19,Frankfurter Tor,13.45405549161822,52.51581156798264,None,1930.0
20,20,Frankfurter Allee,13.475950552326463,52.51355962091689,None,1930.0
21,21,Lichtenberg,13.498783224102937,52.51105768639934,None,1930.0
22,22,Tierpark,13.523861549141941,52.496762026955224,None,1973.0
23,23,Samariterstraße,13.465301225428561,52.51465385945619,None,1930.0
24,24,Friedrichsfelde,13.513324778269975,52.505752783364386,None,1930.0
25,25,Magdalenenstraße,13.486739950442086,52.51248008402217,None,1930.0
26,26,Hallescher Tor,13.38272722377116,52.49911216789555,None,1928.0
27,27,Hallesches Tor,13.382835903368402,52.49867764271983,None,0.0
28,28,Gleisdreieck,13.374098352299654,52.499504790498065,None,0.0
29,29,Gleisdreieck,13.37416514859347,52.49950244452418,None,0.0
