,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,,1.8930023,47.9013608,light_rail,2012.0
1,1,Coligny,1.900368,47.9160252,light_rail,2000.0
2,2,Coligny,1.9003287,47.9160228,light_rail,2000.0
3,3,Gare d'Orléans,1.9052093,47.9067754,light_rail,2000.0
4,4,Gare des Aubrais,1.9069593,47.9265153,light_rail,2000.0
5,5,Gare des Aubrais,1.9070023,47.9265234,light_rail,2000.0
6,6,Gare d'Orléans,1.9052166,47.906798,light_rail,2000.0
7,7,,1.902857,47.9014423,light_rail,200.0
8,8,,1.9028389,47.9010584,light_rail,2000.0
9,9,,1.8930023,47.9013608,None,2012.0
10,10,Coligny,1.900368,47.9160252,None,2000.0
11,11,Coligny,1.9003287,47.9160228,None,2000.0
12,12,Gare d'Orléans,1.9052093,47.9067754,None,2000.0
13,13,Gare des Aubrais,1.9069593,47.9265153,None,2000.0
14,14,Gare des Aubrais,1.9070023,47.9265234,None,2000.0
15,15,Gare d'Orléans,1.9052166,47.906798,None,2000.0
16,16,,1.902857,47.9014423,None,200.0
17,17,,1.9028389,47.9010584,None,2000.0
